Family,pathogen_species,Disease,Reservoir_order,spill_type,Reservoir_spill_notes,Reservoir_spill_reference,CFR_low,CFR_high,CFR_avg,CFR_notes,CFR_reference,transmissibility,transmissibility_notes,transmissibility_reference,transmission_route_primary,transmission_route_notes,transmission_route_reference,Cell,cell_notes,cell_reference,Synonym,Type,Motility,Spore,PubMed.records.log
Rickettsiaceae,Rickettsia honei,Flinders Island spotted fever,Vector,direct,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Michael and Abbott, 1993",0,0,0,https://books.google.com/books?id=x15umovaD08C&pg=PA550&lpg=PA550&dq=Flinders+Island+spotted+fever+case+fatality+rate&source=bl&ots=Vkcdj8nh_z&sig=ACfU3U00mqp9Syiu2sfLcvy44Q1OboBKew&hl=en&sa=X&ved=2ahUKEwj5q-rr3-jzAhW7FTQIHfKqBssQ6AF6BAg3EAM#v=onepage&q=Flinders%20Island%20spotted%20fever%20case%20fatality%20rate&f=false,"NA, Wang et al. 2005",0,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr , Michael and Abbott, 1993",vector,tick,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr#table419 , Michael and Abbott, 1993",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,1.50515
Burkholderiaceae,Burkholderia mallei,Glanders,Perissodactyla,direct,"horses, donkeys and mules","Van Zandt et al. 2013, https://www.cdc.gov/glanders/transmission/index.html, Acute Communical Disease Control Manual, 2016",0.95,0.95,0.95,"Without antibiotic treatment, the case fatality rate may be as high as 95%.","https://www.nj.gov/agriculture/divisions/ah/diseases/glanders.html, Heitman et al. 2016",0,,"Gilad et al. 2007 , Acute Communical Disease Control Manual, 2016",bodily_fluids,transmission of disease not specific strain,"https://www.cdc.gov/glanders/transmission/index.html#:~:text=The%20bacteria%20that%20cause%20glanders,as%20the%20eyes%20and%20nose. , Acute Communical Disease Control Manual, 2016",Facultative intracellular,NA,https://ojrd.biomedcentral.com/articles/10.1186/1750-1172-8-131,"Pseudomonas mallei; Pfeifferella mallei; Malleomyces mallei, etc.",Bacteria,Non-motile,No,2.545307
Anaplasmataceae,Anaplasma phagocytophilum,Anaplasmosis,Rodentia,direct,Ogden et al. 2003,"Vichova et al. 2014, https://www.ncbi.nlm.nih.gov/books/NBK513341/#:~:text=The%20reservoir%20for%20Anaplasma%20phagocytophilum,is%20the%20white%2Dtailed%20deer., Kichloo et al. 2013",0.006,0.006,0.006,"Anaplasma phagocytophilum causes granulocytic anaplasmosis, an acute disease in humans that is also often subclinical. However, 36% are hospitalized, 7% need intensive care, and the case fatality rate is 0.6%.","Dumler et al. 2012, Bonn and Rogers, 2020",0,,"https://www.cdc.gov/anaplasmosis/transmission/index.html , Kichloo et al. 2013",vector,tick,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr#table419 , Kichloo et al. 2013",Obligate intracellular,NA,Shaw et al. 2020,Ehrlichia equi; Rickettsia phagocytophila ovis; Rickettsia phagocytophila; etc.,Bacteria,Non-motile,No,3.194514
Rickettsiaceae,Rickettsia japonica,Japanese spotted fever,Rodentia,direct,rodents,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Unsworth et al. 2007",0.033,0.033,0.033,NA,"https://wwwnc.cdc.gov/eid/article/3/2/97-0203_article#:~:text=No%20fatal%20cases%20of%20JSF,can%20pose%20the%20same%20risk., Willis et al. 2019",0,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr , Willis et al. 2019",vector,tick,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr#table419 , Willis et al. 2019",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.017033
Mycobacteriaceae,Mycobacterium leprae,Leprosy; Hansen's disease,Cingulata,direct,armadillo,"Ilanna Vanessa Pristo de Medeiros Oliveira et al. 2019, https://www.cdc.gov/leprosy/transmission/index.html, Whitlock et at. 2007",0.001,0.001,0.001,Leprosy was identified in 7732/12 491 280 deaths (0.1%),"Martins-Melo et al. 2015, Van Zandt et al. 2013",1,,"https://www.cdc.gov/leprosy/transmission/index.html , Van Zandt et al. 2013",respiratory_droplets,,"https://www.leprosymission.org/blog/five-things-you-didnt-know-about-leprosy-transmission/#:~:text=The%20primary%20way%20that%20leprosy,affected%20by%20leprosy%20are%20infectious. , Whitlock et at. 2007",Extracellular,NA,Shaw et al. 2020,Bacillus leprae,Bacteria,Non-motile,No,3.633266
Leptospiraceae,Leptospira borgpetersenii,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,2.184691
Leptospiraceae,Leptospira inadai,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.954243
Leptospiraceae,Leptospira interrogans,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,"Leptospira interrogans; Spirochaeta interrogans; Spirochaeta icterohaemorrhagiae, etc.",Bacteria,Motile,No,3.260548
Leptospiraceae,Leptospira kirschneri,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,1.892095
Leptospiraceae,Leptospira licerasiae,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.954243
Leptospiraceae,Leptospira noguchii,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,1.30103
Leptospiraceae,Leptospira santarosai,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,1.579784
Leptospiraceae,Leptospira weilii,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,1.079181
Leptospiraceae,Leptospira wolffii,Leptospirosis,Rodentia,direct,reservoir for disease not species,"https://www.who.int/water_sanitation_health/gdwqrevision/phe_wsh_lepto_fact_sheet.pdf, Keesing et al. 2012",0.05,0.15,0.1,10% of cases are severe and 5-15% of those severe cases result in death,"https://www.cdc.gov/leptospirosis/health_care_workers/index.html, Guzman et al. 2021",0,transmissibility of disease not specific strain,"https://www.cdc.gov/leptospirosis/infection/index.html , Guzman et al. 2021",via_environment,transmission of disease not strain,"https://wwwnc.cdc.gov/travel/diseases/leptospirosis , Guzman et al. 2021",Extracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.954243
Borreliaceae,Borreliella afzelii,Lyme Disease,Rodentia,direct,reservoir for disease not species,"Maarten J. Voordouw et al. 2015, Inokuma et al. 2011",1.00E-05,1.00E-05,1.00E-05,Lyme disease. Reviewed death records from 1999-2003 and found that only 1 of 96068 cases resulted in death,"Kugeler et al. 2011, Noguchi et al. 2018",0,A person cannot transmit Lyme disease to another person,"https://www.cdc.gov/lyme/transmission/blacklegged.html , Noguchi et al. 2018",vector,ticks,"https://www.cdc.gov/lyme/index.html , Noguchi et al. 2018",Extracellular,NA,Shaw et al. 2020,Borrelia afzelii; Borrellia group VS461; Borrelia afzeliusii,Bacteria,Motile,No,0.477121
Borreliaceae,Borreliella americana,Lyme Disease,Rodentia,direct,reservoir for disease not species,"Maarten J. Voordouw et al. 2015, Inokuma et al. 2011",1.00E-05,1.00E-05,1.00E-05,Lyme disease. Reviewed death records from 1999-2003 and found that only 1 of 96068 cases resulted in death,"Kugeler et al. 2011, Noguchi et al. 2018",0,A person cannot transmit Lyme disease to another person,"https://www.cdc.gov/lyme/transmission/blacklegged.html , Noguchi et al. 2018",vector,ticks,"https://www.cdc.gov/lyme/index.html , Noguchi et al. 2018",Extracellular,NA,Shaw et al. 2020,Borrelia americana,Bacteria,Motile,No,1.041393
Borreliaceae,Borreliella bavariensis,Lyme Disease,Rodentia,direct,reservoir for disease not species,"Maarten J. Voordouw et al. 2015, Inokuma et al. 2011",1.00E-05,1.00E-05,1.00E-05,Lyme disease. Reviewed death records from 1999-2003 and found that only 1 of 96068 cases resulted in death,"Kugeler et al. 2011, Noguchi et al. 2018",0,A person cannot transmit Lyme disease to another person,"https://www.cdc.gov/lyme/transmission/blacklegged.html , Noguchi et al. 2018",vector,ticks,"https://www.cdc.gov/lyme/index.html , Noguchi et al. 2018",Extracellular,NA,Shaw et al. 2020,Borrelia bavariensis; Borrelia garinii OSPA serotype 4,Bacteria,Motile,No,1.612784
Borreliaceae,Borreliella garinii,Lyme Disease,Rodentia,direct,reservoir for disease not species,"Maarten J. Voordouw et al. 2015, Inokuma et al. 2011",1.00E-05,1.00E-05,1.00E-05,Lyme disease. Reviewed death records from 1999-2003 and found that only 1 of 96068 cases resulted in death,"Kugeler et al. 2011, Noguchi et al. 2018",0,A person cannot transmit Lyme disease to another person,"https://www.cdc.gov/lyme/transmission/blacklegged.html , Noguchi et al. 2018",vector,ticks,"https://www.cdc.gov/lyme/index.html , Noguchi et al. 2018",Extracellular,NA,Shaw et al. 2020,Borrelia garinii; Borrelia genomic group 20047,Bacteria,Motile,No,0.30103
Borreliaceae,Borreliella lusitaniae,Lyme Disease,Rodentia,direct,reservoir for disease not species,"Maarten J. Voordouw et al. 2015, Inokuma et al. 2011",1.00E-05,1.00E-05,1.00E-05,Lyme disease. Reviewed death records from 1999-2003 and found that only 1 of 96068 cases resulted in death,"Kugeler et al. 2011, Noguchi et al. 2018",0,A person cannot transmit Lyme disease to another person,"https://www.cdc.gov/lyme/transmission/blacklegged.html , Noguchi et al. 2018",vector,ticks,"https://www.cdc.gov/lyme/index.html , Noguchi et al. 2018",Extracellular,NA,Shaw et al. 2020,Borrelia lusitaniae,Bacteria,Motile,No,0.30103
Borreliaceae,Borreliella spielmanii,Lyme Disease,Rodentia,direct,reservoir for disease not species,"Maarten J. Voordouw et al. 2015, Inokuma et al. 2011",1.00E-05,1.00E-05,1.00E-05,Lyme disease. Reviewed death records from 1999-2003 and found that only 1 of 96068 cases resulted in death,"Kugeler et al. 2011, Noguchi et al. 2018",0,A person cannot transmit Lyme disease to another person,"https://www.cdc.gov/lyme/transmission/blacklegged.html , Noguchi et al. 2018",vector,ticks,"https://www.cdc.gov/lyme/index.html , Noguchi et al. 2018",Extracellular,NA,Shaw et al. 2020,Borrelia spielmanii,Bacteria,Motile,No,1.724276
Borreliaceae,Borreliella valaisiana,Lyme Disease,Rodentia,direct,reservoir for disease not species,"Maarten J. Voordouw et al. 2015, Inokuma et al. 2011",1.00E-05,1.00E-05,1.00E-05,Lyme disease. Reviewed death records from 1999-2003 and found that only 1 of 96068 cases resulted in death,"Kugeler et al. 2011, Noguchi et al. 2018",0,A person cannot transmit Lyme disease to another person,"https://www.cdc.gov/lyme/transmission/blacklegged.html , Noguchi et al. 2018",vector,ticks,"https://www.cdc.gov/lyme/index.html , Noguchi et al. 2018",Extracellular,NA,Shaw et al. 2020,Borrelia valaisiana,Bacteria,Motile,No,0.30103
Borreliaceae,Borreliella burgdorferi,Lyme Disease,Rodentia,direct,reservoir for disease not species,"Maarten J. Voordouw et al. 2015, Inokuma et al. 2011",1.00E-05,1.00E-05,1.00E-05,Lyme disease. Reviewed death records from 1999-2003 and found that only 1 of 96068 cases resulted in death,"Kugeler et al. 2011, Noguchi et al. 2018",0,A person cannot transmit Lyme disease to another person,"https://www.cdc.gov/lyme/transmission/blacklegged.html , Noguchi et al. 2018",vector,ticks,"https://www.cdc.gov/lyme/index.html , Noguchi et al. 2018",Extracellular,NA,Shaw et al. 2020,Borrelia burgdorferi,Bacteria,Motile,No,1.146128
Burkholderiaceae,Burkholderia pseudomallei,Melioidosis,Environment,direct,"reservoir host for disease, not specific strain","https://www.cdc.gov/melioidosis/index.html, LastÃ³ria et al. 2013",0.9,0.9,0.9,"Without treatment, melioidosis can have a 90% case fatality rate.","https://www.michigan.gov/documents/mdhhs/MDHHS_Melioidosis_Tip_Sheet_625536_7.pdf, Martins-Melo et al. 2015",0,environment seems to be the reservoir,"https://www.cdc.gov/melioidosis/transmission/index.html , LastÃ³ria et al. 2013",via_environment,contaminated soil and surface water remain the primary way in which people become infected.,"https://www.cdc.gov/melioidosis/transmission/index.html , LastÃ³ria et al. 2013",Facultative intracellular,NA,Shaw et al. 2020,Pseudomonas pseudomallei; Malleomyces pseudomallei; Loefflerella pseudomallei,Bacteria,Motile,No,3.365862
Rickettsiaceae,Rickettsia typhi,Murine typhus,Rodentia,direct,"https://www.cdc.gov/typhus/murine/index.html#:~:text=Flea%2Dborne%20(murine)%20typhus%2C%20is%20a%20disease%20caused,rats%2C%20cats%2C%20or%20opossums.","https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Wiersinga et al. 2018",0.04,0.04,0.04,Civen et al. stated a fatality rate of 4% in untreated patients and 1% in patients with antibiotic treatment,"Doppler et al. 2020, Wiersinga et al. 2018",0,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr , Wiersinga et al. 2018",vector,flea,"https://www.cdc.gov/typhus/murine/index.html#:~:text=Flea%2Dborne%20(murine)%20typhus%2C%20is%20a%20disease%20caused,rats%2C%20cats%2C%20or%20opossums. , Wiersinga et al. 2018",Obligate intracellular,NA,Shaw et al. 2020,Rickettsia mooseri; Dermacentroxenus typhi,Bacteria,Non-motile,No,2.670246
Streptomycetaceae,Streptomyces albus,Mycetoma,Environment,direct,Specific bacteria strain has been found in soil,"van de Sande et al. 2014, Evangelista et al. 2010",0,0,0,The disease causes disfigurement but is rarely fatal,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5527712/, Taylor et al. 2015",0,transmissibility of disease not specific strain,"https://www.cdc.gov/fungal/diseases/mycetoma/index.html#:~:text=Mycetoma%20is%20a%20disease%20caused,often%20on%20a%20person's%20foot. , Evangelista et al. 2010",via_environment,,"https://www.cdc.gov/fungal/diseases/mycetoma/index.html#:~:text=cure%20the%20condition.-,Transmission,living%20conditions%20are%20likely%20involved. , Haake and Levett, 2015",Extracellular,NA,Chatar et al. 2010,Streptotrix alba; Streptomyces griseus subsp. solvifaciens; Streptomyces griseus solvifaciens,Bacteria,Non-motile,Yes,2.591065
Nocardiaceae,Nocardia asteroides,Nocardiosis,Environment,direct,transmitted by exposure to contaminated soil,"https://www.cdc.gov/nocardiosis/transmission/index.html, Lara et al. 2012",0.345,0.345,0.345,NA,"Zia et al. 2019, Lara et al. 2012",0,environment seems to be the reservoir,"https://www.cdc.gov/nocardiosis/transmission/index.html#:~:text=When%20soil%20or%20water%20carrying,surgery%20(hospital%2Dacquired%20infection) , Lara et al. 2012",spores_in_environment,breathe in contaminated dust,"https://www.cdc.gov/nocardiosis/transmission/index.html , Lara et al. 2012",Facultative intracellular,NA,Ivonne et al. 2011,"Streptotrix asteroides; Streptothrix eppingerii; Proactinomyces asteroides, etc.",Bacteria,Non-motile,No,3.024486
Nocardiaceae,Nocardia brasiliensis,Nocardiosis,Environment,direct,transmitted by exposure to contaminated soil,"https://www.cdc.gov/nocardiosis/transmission/index.html, Lara et al. 2012",0.345,0.345,0.345,NA,"Zia et al. 2019, Lara et al. 2012",0,environment seems to be the reservoir,"https://www.cdc.gov/nocardiosis/transmission/index.html#:~:text=When%20soil%20or%20water%20carrying,surgery%20(hospital%2Dacquired%20infection) , Lara et al. 2012",spores_in_environment,breathe in contaminated dust,"https://www.cdc.gov/nocardiosis/transmission/index.html , Lara et al. 2012",Facultative intracellular,NA,Ivonne et al. 2011,"Streptothrix brasiliensis; Oospora brasiliensis; Discomyces brasiliensis, etc.",Bacteria,Non-motile,No,2.600973
Rickettsiaceae,Rickettsia sibirica,North Asian tick typhus; Siberian tick typhus,Rodentia,direct,https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Wilson, 2012",0,0,0,"The disease usually has a mild course and is rarely associated with serious complications. There were no fatal cases, but complications such as acute renal failure, retinitis, and lethargy with hyponatraemia were observed","Piotrowski et al. 2020, Davidson et al. 2020",0,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr , Wilson, 2012",vector,tick,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr#table419 , Wilson, 2012",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,2.045323
Streptococcaceae,Streptococcus pneumoniae,Pneumococcal disease,Primates,not_zoonotic,human pathogen,"https://www.cdc.gov/vaccines/pubs/pinkbook/downloads/pneumo.pdf, Kollipara et al. 2017",0.3,0.8,0.55,"The case fatality rate for PD bacterial meningitis is high (30% overall, up to 80% in the elderly).","https://www.health.pa.gov/topics/Documents/Diseases%20and%20Conditions/Pneumococcal%20Disease%20.pdf, Dobler and WÃ¶lfel, 2009",4,person to person transmsision by respiratory drop,"https://www.cdc.gov/pneumococcal/clinicians/transmission.html#:~:text=Transmission%20of%20Streptococcus%20pneumoniae%20occurs,person%20contact%20via%20respiratory%20droplets.&text=The%20pneumococcal%20serotypes%20most%20often,most%20frequently%20found%20in%20carriers. , Dobler and WÃ¶lfel, 2009",respiratory_droplets,,"https://www.cdc.gov/pneumococcal/clinicians/transmission.html#:~:text=Transmission%20of%20Streptococcus%20pneumoniae%20occurs,person%20contact%20via%20respiratory%20droplets.&text=The%20pneumococcal%20serotypes%20most%20often,most%20frequently%20found%20in%20carriers. , Dobler and WÃ¶lfel, 2009",Facultative intracellular,NA,Shaw et al. 2020,Micrococcus pneumoniae; Diplococcus pneumoniae,Bacteria,Non-motile,No,4.373666
Coxiellaceae,Coxiella burnetii,Q fever,Artiodactyla,direct,"sheep, goat, cattle","Alvarez-Alonso et al. 2020, Chen et al. 2021",0.25,0.25,0.25,The case fatality rate was 25% for proven (63/249) chronic Q fever patients,"Roeden et al. 2018, Chen et al. 2021",0,,"https://www.cdc.gov/qfever/transmission/index.html#:~:text=People%20get%20infected%20by%20breathing,become%20sick%20with%20Q%20fever. , Weiser et al. 2018",via_environment,,"https://www.cdc.gov/qfever/transmission/index.html#:~:text=People%20get%20infected%20by%20breathing,become%20sick%20with%20Q%20fever. , Weiser et al. 2018",Obligate intracellular,NA,Shaw et al. 2020,Rickettsia diaporica; Rickettsia burneti,Bacteria,Non-motile,Yes,3.509068
Rickettsiaceae,Rickettsia australis,Queensland tick typhus,Rodentia,direct,https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Maurin and Raoult, 1999",0.016129,0.016129,0.016129,"In 1991, information on 62 Australian cases of SFG rickettsial infections from New South Wales, Queensland, and Victoria were also reviewed (Sexton et al., 1991). This included a fatal case of a healthy 68-year-old male from Mossman in Queensland (Sexton et al., 1990). The authors concluded that R. australis was the causative agent of all cases.","Dehhaghi et al. 2019, Maurin and Raoult, 1999",0,,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr , Maurin and Raoult, 1999",vector,tick,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr#table419 ,",Obligate intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,1.672098
Leptotrichiaceae,Streptobacillus moniliformis,Rat bite fever,Rodentia,direct,https://www.ncbi.nlm.nih.gov/books/NBK448197/,"Sean P. Elliott et al. 2007, Dehhaghi et al. 2019",0.07,0.1,0.085,"Rat-bite fever (RBF) is a rare, systemic illness caused by infection with Streptobacillus moniliformis. RBF has a case-fatality rate of 7%--10%","https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5351a2.htm, Dehhaghi et al. 2019",0,,"https://www.ncbi.nlm.nih.gov/books/NBK448197/ , Dehhaghi et al. 2019",animal_bite,,"https://www.cdc.gov/rat-bite-fever/transmission/index.html#:~:text=How%20is%20Rat%2DBite%20Fever,the%20eyes%2C%20nose%2C%20or%20mouth , Dehhaghi et al. 2019",Facultative intracellular,NA,https://pubmed.ncbi.nlm.nih.gov/19871398/,"Streptothrix muris ratti; Proactinomyces muris; Nocardia muris, etc.",Bacteria,Non-motile,No,2.363612
Rickettsiaceae,Rickettsia akari,Rickettsialpox,Rodentia,direct,"https://www1.nyc.gov/site/doh/health/health-topics/rickettsialpox.page#:~:text=Rickettsialpox%20is%20a%20mild%2C%20self,New%20York%20City%20in%201946.","https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Elliott, 2007",0,0,0,"Rickettsialpox is a benign, self-limiting disease that usually resolves within 14â€“21 days; no deaths from rickettsialpox have been reported.","Zavala - Castro et al 2009, MMWR, 2005",0,,"https://www.cdc.gov/otherspottedfever/healthcare-providers/index.html , Elliott, 2007",vector,house mouse mite,"https://www.cdc.gov/otherspottedfever/healthcare-providers/index.html , Elliott, 2007",Obligate intracellular,NA,Shaw et al. 2020,Gamasoxenus muris; Dermacentroxenus murinus,Bacteria,Non-motile,No,1.897627
Rickettsiaceae,Rickettsia rickettsii,Rocky Mountain spotted fever,Rodentia,direct,https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/zoonotic-disease-program/resources/rmsf,"https://wwwnc.cdc.gov/travel/yellowbook/2020/travel-related-infectious-diseases/rickettsial-including-spotted-fever-and-typhus-fever-rickettsioses-scrub-typhus-anaplasmosis-and-ehr, Yoshimizu and Billeter, 2018",0.05,0.1,0.075,"In clinical reviews of RMSF cases, about 5-10% of cases are fatal.","https://www.cdc.gov/rmsf/stats/index.html, Yoshimizu and Billeter, 2018",0,,"https://www.cdc.gov/rmsf/transmission/index.html , Yoshimizu and Billeter, 2018",vector,tick,"https://www.cdc.gov/rmsf/index.html , Yoshimizu and Billeter, 2018",Obligate intracellular,NA,Shaw et al. 2020,Dermacentroxenus rickettsii,Bacteria,Non-motile,No,2.856124
